"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","2745","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","2","2","1","2.940096","0","2"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","7","9","1","16.513859","0","9"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","88","88","1","1389.425659","0","88"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","6","1","10.445631","0","6"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","5","5","1","6.420756","0","5"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","3","3","1","3.645699","0","3"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","3","3","1","1.595050","0","3"
"/Engine/VREditor/TransformGizmo/Main.Main","0","3","3","1","1.688398","0","3"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","41","46","6","67.500534","0","46"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","2","2","1","3.331964","0","2"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","6","6","1","9.162815","0","6"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","3","3","1","1.856986","0","3"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","3","3","1","3.332759","0","3"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","12","14","1","21.421951","0","14"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","3","3","1","1.711566","0","3"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","110","128","6","364.147552","0","128"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","6","6","1","9.089465","0","6"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","2.907496","0","2"
"/InterchangeAssets/gltf/M_Default.M_Default","0","110","128","6","464.775299","0","128"
"/Game/ShootEmUp/Materials/M_outline.M_outline","0","5","5","1","3.576261","0","5"
"/Game/ShootEmUp/Blueprints/Enemy/MissileTex.MissileTex","0","3","3","1","3.416271","0","3"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","5","5","1","3.675210","0","5"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","0","12","14","1","21.063375","0","14"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","9","9","1","13.357883","0","9"
"/Paper2D/DefaultLitSpriteMaterial.DefaultLitSpriteMaterial","0","14","16","1","25.158236","0","16"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","36","42","2","68.973541","0","42"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","5","5","1","2.113074","0","5"
"/Game/ShootEmUp/Basic_VFX/Materials/M_light_2.M_light_2","0","24","24","1","42.432320","0","24"
"/Game/ShootEmUp/Basic_VFX/Materials/M_light.M_light","0","24","24","1","0.000000","0","24"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","6","7","1","6.648614","0","7"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","33","36","1","40.549320","0","36"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","33","36","1","0.000000","0","36"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","5","6","1","6.890571","0","6"
"/Engine/OpenWorldTemplate/LandscapeMaterial/M_ProcGrid.M_ProcGrid","0","6","6","2","11.782873","0","6"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","28","28","2","654.130859","0","28"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","102","112","6","444.131683","0","112"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","102","112","6","382.172821","0","112"
